,city,date,cloudiness,temp_min,temp_max,humidity,pop,rain
299,Lille,2026-02-11,100,9.81,9.81,75,0.0,0.0
300,Lille,2026-02-11,100,9.59,9.59,91,1.0,1.37
301,Lille,2026-02-12,100,10.78,10.78,85,1.0,8.07
302,Lille,2026-02-12,100,9.25,9.25,79,1.0,1.87
303,Lille,2026-02-12,100,7.85,7.85,84,1.0,0.28
304,Lille,2026-02-12,100,8.01,8.01,88,1.0,2.81
305,Lille,2026-02-12,100,8.96,8.96,86,1.0,0.76
306,Lille,2026-02-12,100,9.34,9.34,84,1.0,0.45
307,Lille,2026-02-12,98,8.78,8.78,84,1.0,0.8
308,Lille,2026-02-12,86,7.51,7.51,81,0.06,0.0
309,Lille,2026-02-13,93,7.05,7.05,89,0.0,0.0
310,Lille,2026-02-13,88,6.29,6.29,91,0.0,0.0
311,Lille,2026-02-13,94,6.96,6.96,87,0.2,0.1
312,Lille,2026-02-13,93,7.83,7.83,81,0.84,0.42
313,Lille,2026-02-13,93,7.99,7.99,81,0.12,0.0
314,Lille,2026-02-13,100,8.74,8.74,73,0.0,0.0
315,Lille,2026-02-13,96,6.9,6.9,86,0.77,0.79
316,Lille,2026-02-13,100,2.84,2.84,94,0.72,0.47
317,Lille,2026-02-14,100,1.96,1.96,79,0.82,0.0
318,Lille,2026-02-14,100,2.1,2.1,68,0.0,0.0
319,Lille,2026-02-14,99,1.54,1.54,74,0.0,0.0
320,Strasbourg,2026-02-09,100,3.0,3.84,100,0.0,0.0
321,Strasbourg,2026-02-09,91,3.81,5.43,90,0.0,0.0
322,Strasbourg,2026-02-09,100,6.6,8.4,77,0.0,0.0
323,Strasbourg,2026-02-09,98,5.69,5.69,78,0.0,0.0
324,Strasbourg,2026-02-09,65,3.97,3.97,84,0.0,0.0
325,Strasbourg,2026-02-10,71,2.92,2.92,87,0.0,0.0
326,Strasbourg,2026-02-10,82,3.43,3.43,86,0.0,0.0
327,Strasbourg,2026-02-10,91,4.34,4.34,82,0.2,0.3
328,Strasbourg,2026-02-10,100,6.02,6.02,89,1.0,2.01
329,Strasbourg,2026-02-10,100,6.18,6.18,87,1.0,0.6
330,Strasbourg,2026-02-10,100,7.07,7.07,84,0.21,0.17
331,Strasbourg,2026-02-10,100,7.0,7.0,89,0.54,0.5
332,Strasbourg,2026-02-10,100,6.72,6.72,89,0.0,0.0
333,Strasbourg,2026-02-11,100,8.36,8.36,83,0.96,0.73
334,Strasbourg,2026-02-11,100,8.49,8.49,91,1.0,2.09
335,Strasbourg,2026-02-11,100,10.19,10.19,81,1.0,1.01
336,Strasbourg,2026-02-11,100,9.39,9.39,88,1.0,1.96
337,Strasbourg,2026-02-11,100,12.15,12.15,69,1.0,0.36
338,Strasbourg,2026-02-11,99,11.46,11.46,68,1.0,1.68
339,Strasbourg,2026-02-11,99,9.46,9.46,75,0.8,0.0
340,Strasbourg,2026-02-11,100,9.23,9.23,76,0.0,0.0
341,Strasbourg,2026-02-12,100,9.46,9.46,80,1.0,0.79
342,Strasbourg,2026-02-12,100,10.73,10.73,72,1.0,1.17
343,Strasbourg,2026-02-12,100,9.13,9.13,71,0.78,0.0
344,Strasbourg,2026-02-12,100,8.63,8.63,76,0.0,0.0
345,Strasbourg,2026-02-12,100,8.91,8.91,76,1.0,1.36
346,Strasbourg,2026-02-12,100,8.6,8.6,82,1.0,2.14
347,Strasbourg,2026-02-12,100,9.08,9.08,79,1.0,0.74
348,Strasbourg,2026-02-12,99,8.64,8.64,74,0.98,0.58
349,Strasbourg,2026-02-13,90,7.85,7.85,76,0.41,0.0
350,Strasbourg,2026-02-13,100,7.63,7.63,70,0.0,0.0
351,Strasbourg,2026-02-13,94,5.83,5.83,85,0.0,0.0
352,Strasbourg,2026-02-13,100,6.39,6.39,87,1.0,0.39
353,Strasbourg,2026-02-13,100,7.45,7.45,82,0.14,0.0
354,Strasbourg,2026-02-13,100,7.09,7.09,87,0.0,0.0
355,Strasbourg,2026-02-13,100,6.7,6.7,92,0.31,0.2
356,Strasbourg,2026-02-13,100,6.4,6.4,94,0.06,0.0
357,Strasbourg,2026-02-14,100,6.49,6.49,91,0.58,0.69
358,Strasbourg,2026-02-14,100,5.61,5.61,92,1.0,3.39
359,Strasbourg,2026-02-14,100,5.21,5.21,90,1.0,1.44
360,Chateau du Haut Koenigsbourg,2026-02-09,100,0.9,1.22,100,0.0,0.0
361,Chateau du Haut Koenigsbourg,2026-02-09,98,1.32,2.16,91,0.0,0.0
362,Chateau du Haut Koenigsbourg,2026-02-09,100,4.33,6.04,81,0.0,0.0
363,Chateau du Haut Koenigsbourg,2026-02-09,98,2.87,2.87,89,0.0,0.0
364,Chateau du Haut Koenigsbourg,2026-02-09,83,2.18,2.18,88,0.0,0.0
365,Chateau du Haut Koenigsbourg,2026-02-10,67,0.92,0.92,90,0.0,0.0
366,Chateau du Haut Koenigsbourg,2026-02-10,100,1.92,1.92,88,0.0,0.0
367,Chateau du Haut Koenigsbourg,2026-02-10,100,2.56,2.56,90,0.37,0.25
368,Chateau du Haut Koenigsbourg,2026-02-10,100,2.71,2.71,96,1.0,1.0
369,Chateau du Haut Koenigsbourg,2026-02-10,100,3.17,3.17,95,1.0,1.72
370,Chateau du Haut Koenigsbourg,2026-02-10,100,3.98,3.98,94,0.78,0.32
371,Chateau du Haut Koenigsbourg,2026-02-10,100,4.12,4.12,96,1.0,1.21
372,Chateau du Haut Koenigsbourg,2026-02-10,100,4.33,4.33,96,0.53,0.25
373,Chateau du Haut Koenigsbourg,2026-02-11,100,5.24,5.24,93,0.79,0.52
374,Chateau du Haut Koenigsbourg,2026-02-11,100,6.49,6.49,94,1.0,6.79
375,Chateau du Haut Koenigsbourg,2026-02-11,100,7.33,7.33,88,1.0,1.39
376,Chateau du Haut Koenigsbourg,2026-02-11,100,7.43,7.43,86,1.0,4.43
377,Chateau du Haut Koenigsbourg,2026-02-11,100,7.37,7.37,87,1.0,1.74
378,Chateau du Haut Koenigsbourg,2026-02-11,80,8.37,8.37,72,1.0,2.21
379,Chateau du Haut Koenigsbourg,2026-02-11,87,5.8,5.8,84,0.8,0.0
380,Chateau du Haut Koenigsbourg,2026-02-11,100,6.33,6.33,86,0.32,0.12
381,Chateau du Haut Koenigsbourg,2026-02-12,100,7.46,7.46,82,1.0,1.61
382,Chateau du Haut Koenigsbourg,2026-02-12,85,7.23,7.23,73,1.0,1.46
383,Chateau du Haut Koenigsbourg,2026-02-12,89,5.64,5.64,84,1.0,0.72
384,Chateau du Haut Koenigsbourg,2026-02-12,100,5.37,5.37,86,0.6,0.33
385,Chateau du Haut Koenigsbourg,2026-02-12,100,4.74,4.74,88,1.0,2.57
386,Chateau du Haut Koenigsbourg,2026-02-12,100,5.81,5.81,88,1.0,3.85
387,Chateau du Haut Koenigsbourg,2026-02-12,100,5.95,5.95,85,1.0,2.31
388,Chateau du Haut Koenigsbourg,2026-02-12,100,5.59,5.59,79,0.2,0.28
389,Chateau du Haut Koenigsbourg,2026-02-13,90,4.77,4.77,81,0.07,0.0
